"Outcome","TWFE_Estimate","TWFE_SE","Pre_Trend_Margin","Lower_Bound","Upper_Bound"
"Closure",0.00860114621847362,0.00202504306696229,0.00734978259793675,-0.0027177207907092,0.0199200132276564
"Entry",-0.00129342902196729,0.00158649500773913,0.00354255413906071,-0.00794551337619669,0.0053586553322621
"Relocation",-0.000187718101413814,0.000702351575676314,0.00215078997971406,-0.00371511716945345,0.00333968096662583
